Accuracy,EpochsNum,SAGA,Replacement,Method,ExecutionTime,NetworkConfig,LambdaL1,LambdaL2
0.9456666666666667,5,False,False,NADAM,0:01:41.190925,"[128, 128]",0.0,0.0
0.9938888888888889,10,False,False,NADAM,0:03:25.409814,"[128, 128]",0.0,0.0
0.9936666666666667,10,False,False,NADAM,0:03:24.023488,"[128, 128]",0.0,0.1
0.9966666666666667,10,False,False,NADAM,0:03:24.838309,"[128, 128]",0.0,0.001
0.7804444444444445,10,False,False,NADAM,0:03:25.493738,"[128, 128]",0.0,10.0
0.12933333333333333,10,False,False,NADAM,0:03:25.225274,"[128, 128]",0.0,100.0
0.9735555555555555,10,False,False,NADAM,0:03:21.839426,"[128, 128]",0.0,1.0
1.0,25,False,False,NADAM,0:08:38.408352,"[128, 128]",0.0,0.001
1.0,25,False,False,ADAM,0:08:22.846559,"[128, 128]",0.0,0.001
0.9998888888888889,25,False,False,RMSPROP,0:08:29.130567,"[128, 128]",0.0,0.001
0.9998888888888889,25,False,False,NADAM,0:08:28.688476,"[128, 128]",0.0,0.1
1.0,25,False,False,NADAM,0:08:45.038953,"[128, 128]",0.0,0.01
0.9953333333333333,25,False,False,NADAM,0:08:58.068636,"[128, 128]",0.0,1.0
0.7818888888888889,25,False,False,NADAM,0:09:06.176453,"[128, 128]",0.0,10.0
